,Laptop Models,Operating System,Screen Size,Screen Resolution,Touchscreen,Processor,Graphics Processor,RAM,Hard Drive Capacity,Weight,Webcam,Fingerprint Scanner,Price
987,Asus OLED UX3402VA-KM542WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.39 Kg,Yes,Yes,"Rs. 97,990"
988,Asus 15 OLED E1504GA-LK321WS ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel UHD,8GB,512GB,1.63 Kg,Yes,,"Rs. 47,899"
989,Asus 14 E1404FA-NK321WS ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),,No,AMD Quad-Core Ryzen 3,AMD Integrated,8GB,512GB,1.92 Kg,Yes,,"Rs. 35,990"
990,Asus Flip OLED UP3404VA-KN753WS ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,Yes,Intel Core i7 (13th Gen),Intel Iris Xe,16GB,1TB,1.50 Kg,Yes,,"Rs. 1,29,990"
991,Asus K3504VA-LK552WS ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,1TB,1.60 Kg,Yes,Yes,"Rs. 80,509"
992,MSI 12UC-881IN (Intel Core i5 (12th Gen) 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 3050,8GB,512GB,2.25 Kg,Yes,,"Rs. 76,990"
993,Asus K3504VA-LK541WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.60 Kg,Yes,Yes,"Rs. 71,490"
994,Acer EX215-54 (UN.EGJSI.053) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.7 Kg,Yes,,"Rs. 36,990"
995,Asus OLED UX5304VA-NQ742WS ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,13.3 inch(33.78 cm),2880 x 1800 pixels,No,Intel Core i7 (13th Gen),Intel Iris Xe,16GB,1TB,1 Kg,Yes,,"Rs. 1,29,960"
996,Asus S5504VA-MA954WS ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),2880 x 1620 pixels,No,Intel Core i9 (13th Gen),Intel Iris Xe,16GB,1TB,1.70 Kg,Yes,,"Rs. 1,09,990"
997,Asus Flip OLED UP3404VA-KN542WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,Yes,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.50 Kg,Yes,,"Rs. 1,04,990"
998,MSI A12UDX-468IN (Intel Core i5 (12th Gen) 16GB 1TB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 3050,16GB,1TB,2.25 Kg,Yes,,"Rs. 79,990"
999,MSI A12VE-071IN (Intel Core i5 (12th Gen) 16GB 512GB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 4050,16GB,512GB,1.98 Kg,Yes,,"Rs. 82,990"
1000,Asus 15 OLED E1504FA-LK543WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon,16GB,512GB,1.63 Kg,Yes,,"Rs. 54,990"
1001,Lenovo V15 (82KDA00XIH) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,8GB,512GB,1.70 Kg,Yes,,"Rs. 35,990"
1002,HP x360 OLED Touch 13.5-ef2033TU (7Y6T9PA) ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,13.5 inch(34.29 cm),3000 x 2000 pixels,Yes,Intel Core i7 (13th Gen),Intel Iris Xe,16GB,1TB,1.36 Kg,"Yes, 5 MP",Yes,"Rs. 1,40,490"
1003,HP x360 16-f2005TX (7Y6U9PA) ( 32GB 1TB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),3840 x 2400 pixels,Yes,Intel Core i7 (13th Gen),Intel Arc A370M,32GB,1TB,2.15 Kg,"Yes, 5 MP",Yes,"Rs. 1,85,990"
1004,HP x360 16-f2002TU (7Y6U8PA) ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),3072 x 1920 pixels,Yes,Intel Core i7 (13th Gen),Intel UHD,16GB,1TB,2.15 Kg,"Yes, 5 MP",Yes,"Rs. 1,46,990"
1005,Lenovo (82FG01K4IN) (Intel Core i5 (11th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,16GB,512GB,1.66 Kg,"Yes, 1 MP",Yes,"Rs. 64,700"
1006,MSI B13M-289IN ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.7 Kg,Yes,,"Rs. 58,990"
1007,Asus G713RC-HX021W ( 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,17.3 inch(43.94 cm),1920 x 1080 pixels,,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3050,16GB,512GB,2.50 Kg,,,"Rs. 99,480"
1008,HP x360 14m-dw1023dx (1F4W5UA) (Intel Core i5 (11th Gen) 8GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,256GB,1.61 Kg,Yes,,"Rs. 88,958"
1009,Asus G634JY-NM054WS ( 32GB 1TB SSD 16GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2560 x 1600 pixels,No,Intel Core i9 (13th Gen),NVIDIA GeForce RTX 4090,32GB,1TB,2.50 Kg,Yes,,"Rs. 3,39,990"
1010,HP 15-eg2039TU (6D4L1PA) ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (12th Gen),Intel Iris Xe,16GB,1TB,1.75 Kg,Yes,Yes,"Rs. 87,890"
1011,MSI A13MT-226IN ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,13.4 inch(34.04 cm),1920 x 1200 pixels,Yes,Intel Core i7 (13th Gen),Intel Iris Xe,16GB,1TB,1.35 Kg,Yes,,"Rs. 1,37,990"
1012,MSI 16 Evo A13M-266IN ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2560 x 1600 pixels,No,Intel Core i7 (13th Gen),Intel Iris Xe,16GB,1TB,1.9 Kg,Yes,,"Rs. 1,24,990"
1013,MSI A13MT-278IN ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2560 x 1600 pixels,No,Intel Core i7 (13th Gen),Intel Iris Xe,16GB,1TB,1.6 Kg,Yes,,"Rs. 1,34,990"
1014,Dell 14 5410 (D560594WIN9S) ( 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.5 Kg,Yes,No,"Rs. 71,091"
